filename,width,height,class,xmin,ymin,xmax,ymax
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,author,69,298,265,324
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,title,69,373,310,405
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,title,69,407,409,436
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,title,69,437,280,467
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,title,69,472,311,505
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,title,71,506,230,537
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,text,474,474,572,496
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,text,401,498,575,522
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,text,455,520,571,541
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,text,417,541,573,565
019517223X_jpg.rf.c1a7ef4a3821ef4f3ada3be4a0c082bb.jpg,640,640,text,447,564,572,589
013274239X_jpg.rf.bfe656b5784cf31e8db7eb731377931d.jpg,640,640,title,26,85,611,293
013274239X_jpg.rf.bfe656b5784cf31e8db7eb731377931d.jpg,640,640,text,202,303,421,336
013274239X_jpg.rf.bfe656b5784cf31e8db7eb731377931d.jpg,640,640,author,140,497,497,553
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,title,184,57,543,78
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,title,184,82,527,103
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,author,184,116,405,133
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,author,183,134,395,151
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,author,183,151,413,166
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,publisher,55,105,116,118
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,publisher,50,120,120,131
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,publisher,49,133,120,143
022620684X_jpg.rf.c1280da1499e411e33820b2294e46b37.jpg,640,640,publisher,53,145,119,157
0064409465_jpg.rf.c3077a372e6320302731212ca462c738.jpg,640,640,title,106,21,533,61
0064409465_jpg.rf.c3077a372e6320302731212ca462c738.jpg,640,640,title,159,61,486,97
0064409465_jpg.rf.c3077a372e6320302731212ca462c738.jpg,640,640,author,201,106,442,132
0064409465_jpg.rf.c3077a372e6320302731212ca462c738.jpg,640,640,title,109,589,535,621
0064409465_jpg.rf.c3077a372e6320302731212ca462c738.jpg,640,640,title,143,619,499,631
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,text,387,55,585,70
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,text,396,78,577,93
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,text,413,99,560,115
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,title,38,179,600,223
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,title,265,237,377,266
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,title,132,279,516,321
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,title,141,450,497,469
0062206338_jpg.rf.c296705f67f8ea8ae2f0cf66b7165b21.jpg,640,640,title,57,478,580,496
